name,points,challenges
答的都队,442.4,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
BoPo,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
NISA-0w0,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
babyD0g3,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
Dragon Raja,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
Asuri@NUAA,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
Nekos,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
彼时彼刻，恰如此时此刻。,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
火锅不加辣,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
or4nge,440,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
乘风破浪,400,"{'challenge_name': ['QQQRcode'], 'challenge_category': ['Misc'], 'challenge_points': ['400']}"
08067secccc,384,"{'challenge_name': ['not so web 1', 'ACTF upload'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['240', '144']}"
xinns,384,"{'challenge_name': ['not so web 1', 'ACTF upload'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['240', '144']}"
the0n3,384,"{'challenge_name': ['not so web 1', 'ACTF upload'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['240', '144']}"
Black_Manba,384,"{'challenge_name': ['not so web 1', 'ACTF upload'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['240', '144']}"
小鱼能不能别坐牢,384,"{'challenge_name': ['master of movie'], 'challenge_category': ['Misc'], 'challenge_points': ['384']}"
yoruaki,384,"{'challenge_name': ['not so web 1', 'ACTF upload'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['240', '144']}"
CyberLex,296,"{'challenge_name': ['signin', 'not so web 1'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '240']}"
签完到就走,296,"{'challenge_name': ['signin', 'not so web 1'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '240']}"
zer0er,240,"{'challenge_name': ['not so web 1'], 'challenge_category': ['Web'], 'challenge_points': ['240']}"
pkucc,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
sep,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
S4,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
Mint_zstu,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
CHAOIKUN,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
砂狼白子,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
三旬,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
yck,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
T1me0ut,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
Hertant,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
SSSec798,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
Dino,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
玄网安全,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
PUSH,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
A1t,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
idek,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
qweryatq,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
automan,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
diy,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
离心冥,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
ylne,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
niaphi,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
r00t,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
vkbhj,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
EDISEC,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
L1bra,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
RooterX,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
ALG,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
