name,points,challenges
萌鸡想吃KFC,1781,"{'challenge_name': ['chase', 'linuxpdf', 'baby layout', 'safe layout', 'supersqli', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['303', '327', '200', '289', '357', '246', '59']}"
r00t,1623,"{'challenge_name': ['chase', 'baby layout', 'safe layout', 'raenil', 'nanonymous spam', 'welcome'], 'challenge_category': ['Reverse', 'Web', 'Web', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['303', '200', '289', '246', '526', '59']}"
NaN Team,1621,"{'challenge_name': ['welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['59', '285', '689', '588']}"
Hyperion_No1,1533,"{'challenge_name': ['linuxpdf', 'randomized random', 'baby layout', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Crypto', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['327', '416', '200', '246', '59', '285']}"
Kap0K,1513,"{'challenge_name': ['chase', 'baby layout', 'safe layout', 'safe layout revenge', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Web', 'Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['303', '200', '289', '416', '246', '59']}"
H4aG4au,1239.15,"{'challenge_name': ['chase', 'randomized random', 'baby layout', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Crypto', 'Web', 'Misc', 'Misc'], 'challenge_points': ['303', '416', '200', '246', '59']}"
Ab1azE,1224,"{'challenge_name': ['chase', 'randomized random', 'baby layout', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Crypto', 'Web', 'Misc', 'Misc'], 'challenge_points': ['303', '416', '200', '246', '59']}"
bi0s,1136,"{'challenge_name': ['chase', 'baby layout', 'safe layout', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Web', 'Web', 'Misc', 'Pwn'], 'challenge_points': ['303', '200', '289', '59', '285']}"
突突车,1046,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'welcome'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Misc'], 'challenge_points': ['357', '303', '327', '59']}"
TeamGipsy,987,"{'challenge_name': ['portable', 'chase', 'stone-game'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse'], 'challenge_points': ['357', '303', '327']}"
SUS@2025,968.16,"{'challenge_name': ['randomized random', 'baby layout', 'safe layout', 'welcome'], 'challenge_category': ['Crypto', 'Web', 'Web', 'Misc'], 'challenge_points': ['416', '200', '289', '59']}"
philippines numbawan,964,"{'challenge_name': ['baby layout', 'safe layout', 'safe layout revenge', 'welcome'], 'challenge_category': ['Web', 'Web', 'Web', 'Misc'], 'challenge_points': ['200', '289', '416', '59']}"
Ch1ve,862,"{'challenge_name': ['baby layout', 'supersqli', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['200', '357', '246', '59']}"
楼上请让路*,851,"{'challenge_name': ['chase', 'baby layout', 'safe layout', 'welcome'], 'challenge_category': ['Reverse', 'Web', 'Web', 'Misc'], 'challenge_points': ['303', '200', '289', '59']}"
SAINTSEC,794,"{'challenge_name': ['baby layout', 'safe layout', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['200', '289', '246', '59']}"
NEUQRO,792.85,"{'challenge_name': ['baby layout', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['200', '246', '59', '285']}"
******,760,"{'challenge_name': ['randomized random', 'welcome', 'EzDB'], 'challenge_category': ['Crypto', 'Misc', 'Pwn'], 'challenge_points': ['416', '59', '285']}"
Wade,743,"{'challenge_name': ['portable', 'linuxpdf', 'welcome'], 'challenge_category': ['Reverse', 'Reverse', 'Misc'], 'challenge_points': ['357', '327', '59']}"
Geek极安云科,662,"{'challenge_name': ['supersqli', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Misc', 'Misc'], 'challenge_points': ['357', '246', '59']}"
XHZ战队,662,"{'challenge_name': ['supersqli', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Misc', 'Misc'], 'challenge_points': ['357', '246', '59']}"
TLPT,654,"{'challenge_name': ['linuxpdf', 'stone-game'], 'challenge_category': ['Reverse', 'Reverse'], 'challenge_points': ['327', '327']}"
Warrior,632,"{'challenge_name': ['stone-game', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Misc', 'Misc'], 'challenge_points': ['327', '246', '59']}"
Mini-Polis,626.71,"{'challenge_name': ['baby layout', 'supersqli', 'welcome'], 'challenge_category': ['Web', 'Web', 'Misc'], 'challenge_points': ['200', '357', '59']}"
babyD0g3,616,"{'challenge_name': ['baby layout', 'supersqli', 'welcome'], 'challenge_category': ['Web', 'Web', 'Misc'], 'challenge_points': ['200', '357', '59']}"
k0pak,608,"{'challenge_name': ['chase', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Misc', 'Misc'], 'challenge_points': ['303', '246', '59']}"
cybertutu,548,"{'challenge_name': ['baby layout', 'safe layout', 'welcome'], 'challenge_category': ['Web', 'Web', 'Misc'], 'challenge_points': ['200', '289', '59']}"
0xE0F,548,"{'challenge_name': ['baby layout', 'safe layout', 'welcome'], 'challenge_category': ['Web', 'Web', 'Misc'], 'challenge_points': ['200', '289', '59']}"
Hor1zon,544,"{'challenge_name': ['baby layout', 'welcome', 'EzDB'], 'challenge_category': ['Web', 'Misc', 'Pwn'], 'challenge_points': ['200', '59', '285']}"
Mint_zstu,544,"{'challenge_name': ['baby layout', 'welcome', 'EzDB'], 'challenge_category': ['Web', 'Misc', 'Pwn'], 'challenge_points': ['200', '59', '285']}"
ROIS,544,"{'challenge_name': ['baby layout', 'welcome', 'EzDB'], 'challenge_category': ['Web', 'Misc', 'Pwn'], 'challenge_points': ['200', '59', '285']}"
fininini,505,"{'challenge_name': ['baby layout', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Misc', 'Misc'], 'challenge_points': ['200', '246', '59']}"
CyberUnicorn,505,"{'challenge_name': ['baby layout', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Misc', 'Misc'], 'challenge_points': ['200', '246', '59']}"
凌日网络与信息安全团队,505,"{'challenge_name': ['baby layout', 'raenil', 'welcome'], 'challenge_category': ['Web', 'Misc', 'Misc'], 'challenge_points': ['200', '246', '59']}"
SNI,489,"{'challenge_name': ['baby layout', 'safe layout'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['200', '289']}"
lifeless,489,"{'challenge_name': ['baby layout', 'safe layout'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['200', '289']}"
