name,points,challenges
cutegothgunslinger,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Praetorian,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
ELT,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Pwnhub,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
The Ranch Schlopers,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
c⌒っﾟДﾟ)っ,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Parasitic Skua's Revenge,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
NCSA,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
nol3ptr,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
CAT-Security,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
im_dragon,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
1,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
C4n4r1es,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Yee Haw State,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
LoneRanger&Tonto,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
followUheart,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
CT357F,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
sarkaz,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
viole(n)t,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
mneF00,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
misfits,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
CERT-IS,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
anti debix debicks club,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Capital Cowboys,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Rusty robots,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
StandoffSundowned,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
M.I.S.T,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
APT1804,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
ThreeAmigos ,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
snocc,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
"The Goat, The Bad, and The Ugly",101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Cangaceiro,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
crusom,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
SVRTRDI0,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
JOPA,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
FITSEC,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
dave_fan_club,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
RSC,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Tennessee Troublemakers,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
HTTPOverTestosterone,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
rikopeer,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Great Cyber Cowboys,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
"Extreme ""Sheriff"" Task Force",101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
F4ng_snyder,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Kikuri'sbeerpacket,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
freep0nx,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
TroJenos,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
idiotas,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Azusaq,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
The Tumbleweed Twisters,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
p3cd0wn,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
kam19,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
no_team_of_consequence,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Vaara Iruthi,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
1234,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
sln.1550,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
ejs,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Blind Firin' Buckaroos,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Claquettes Chaussettes,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
HackUTT,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
just a f4ng_snyder clone,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
toast,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Barsides,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
anonymous_forever,100,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Blitzing Bullet Babies,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
vianu_hack,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
InfoSecIITR,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Davidpb,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
gigi,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
serie_a_matchday_31,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Pimpest,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Batman's Kitchen,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
BlitzHack,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
BinaryBears,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Ripping,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
A Fist Full of Crayons,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Gray Hound Station,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Showbiz Drifters,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
PiggyNearBy,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Garda Veche,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
rei,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
TimelineSec,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
cube_en🪦,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
CyberDawgs,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
UniverSea,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
The Vanishing Outlaws,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
NKCyber,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Tropical Hunters,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Solo101,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
There is no place like ̶/̶h̶o̶m̶e̶  /root,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
beehaw,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
jess team,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
GopniX,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
UQCyberSquad,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
0bug,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
KA4KAHAPCKuE CyXAPuKu,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
thrumbos,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Black Bauhinia,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
synn3r,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
